ZIP Code,	Latitude,	Longitude

00010,	41.92281149999999,	12.8744945
00011,	41.9539256,	12.7178213
00012,	41.9910718,	12.7020218
00013,	42.0157197,	12.6560717
00015,	42.0767627,	12.6331035
00017,	42.1641359,	12.7652326
00018,	42.0833734,	12.7479899
00019,	41.9807275,	12.7939759
00020,	41.985522,	13.0933171
00021,	41.8935155,	13.0875535
00022,	42.0127453,	12.9838564
00023,	42.0269375,	13.0299331
00024,	41.97029819999999,	12.8860016
00025,	41.9334123,	12.995374
00026,	42.0817043,	12.8917556
00027,	42.0309094,	12.995374
00028,	41.9354332,	13.1048449
00029,	42.0093024,	12.8860016
00030,	41.803492,	12.9780981
00031,	41.73568239999999,	12.8860016
00032,	41.5831022,	13.1048449
00033,	41.8087567,	12.932041
00034,	41.742127,	13.0011331
00035,	41.8606174,	13.0311847
00036,	41.8123748,	12.857236
00037,	41.6833393,	13.0011331
00038,	41.7722366,	12.9090191
00039,	41.8413878,	12.8169757
00040,	41.6505911,	12.5068597
00041,	41.6912388,	12.6273621
00042,	41.5113486,	12.6101398
00043,	41.7905388,	12.6158803
00044,	41.8232973,	12.6733009
00045,	41.6933592,	12.696277
00046,	41.7841383,	12.6733009
00047,	41.7683922,	12.6388451
00048,	41.4814194,	12.7020218
00049,	41.6591531,	12.7824777
00050,	41.9249989,	12.238449
00051,	42.1365049,	11.900579
00052,	42.0086592,	12.0946818
00053,	42.1155931,	11.8207566
00054,	41.8374698,	12.2319048
00055,	41.9610214,	12.0832543
00057,	41.8766618,	12.2188541
00058,	42.0584662,	11.900579
00059,	42.1354343,	12.0032957
00060,	42.2316191,	12.5527505
00061,	42.0780666,	12.2662372
00062,	42.076948,	12.1861447
00063,	42.1350766,	12.3692982
00065,	42.1597494,	12.5871807
00066,	42.1092813,	12.1118253
00067,	42.1479179,	12.5183307
00068,	42.1918878,	12.4724537
00069,	42.1560095,	12.2662372
00070,	41.7074721,	12.5668791
00071,	41.6556868,	12.5000093
00072,	41.7237336,	12.6814853
00073,	41.74100199999999,	12.6442204
00074,	41.7193587,	12.7148722
00075,	41.6410544,	12.6577194
00076,	41.7288425,	12.8305518
00077,	41.8079613,	12.7410736
00079,	41.7946636,	12.7636159
00100,	60.1726668,	24.9320088
00101,	60.17054729999999,	24.9316109
00102,	55.9068012,	21.0822787
00103,	55.9123229,	21.0880795
00104,	55.91410399999999,	21.094417
00105,	55.9167481,	21.0908455
00106,	55.9175385,	21.0884661
00107,	55.9162693,	21.0874116
00108,	55.9145715,	21.0856975
00109,	55.91483849999999,	21.0831871
00110,	55.91480499999999,	21.0813379
00111,	55.91424809999999,	21.0793577
00112,	55.915406,	21.0800157
00113,	55.9159796,	21.0829206
00114,	55.916152,	21.0809388
00115,	55.9171649,	21.0793515
00116,	55.91721519999999,	21.0821255
00117,	55.920338,	21.081987
00118,	41.8199114,	12.6158803
00119,	41.7755359,	12.3063052
00120,	60.1629027,	24.9421004
00121,	41.7400239,	12.2719604
00122,	41.7249729,	12.297718
00123,	42.0230904,	12.3234816
00124,	41.7381063,	12.334934
00125,	41.772343,	12.3807553
00126,	41.7901647,	12.3521148
00127,	41.7952246,	12.4179988
00128,	41.6999293,	12.4151335
00129,	55.9107849,	21.0722331
00130,	60.1653551,	24.9491605
00131,	41.9457317,	12.6273621
00132,	41.9129729,	12.7020218
00133,	41.8620235,	12.6331035
00134,	41.7632522,	12.5527505
00135,	41.949002,	12.4208642
00136,	41.9199306,	12.440924
00137,	41.95173339999999,	12.5611662
00138,	41.9919908,	12.5183307
00139,	41.9869142,	12.5642261
00140,	60.15744170000001,	24.9538806
00141,	41.9391449,	12.532671
00142,	41.833878,	12.4896554
00143,	41.8112345,	12.4860338
00144,	41.8193358,	12.44379
00145,	41.8551485,	12.4853547
00146,	41.8581057,	12.469587
00147,	41.8521889,	12.5011247
00148,	41.8115387,	12.3807553
00149,	41.8551019,	12.4523883
00150,	60.15114759999999,	24.9235532
00151,	41.8661445,	12.440924
00152,	41.8789317,	12.4581209
00153,	41.8819321,	12.4753205
00154,	41.8708892,	12.4867883
00155,	41.9062372,	12.5871807
00156,	41.93257500000001,	12.5699643
00157,	41.9140834,	12.5384077
00158,	41.9219514,	12.5556193
00159,	41.9036749,	12.5441446
00160,	60.1666474,	24.9696999
00161,	41.9117308,	12.5154628
00162,	41.9167312,	12.5255006
00163,	41.8647615,	12.3864842
00164,	41.87718410000001,	12.4294608
00165,	41.8973732,	12.4237297
00166,	41.90586039999999,	12.3234816
00167,	41.9114118,	12.4294608
00168,	41.9209393,	12.409403
00169,	55.9382405,	21.0695248
00170,	60.1730831,	24.9530747
00171,	41.8913585,	12.5670952
00172,	41.8809451,	12.5728335
00173,	41.8420359,	12.59292
00174,	41.8535089,	12.5556193
00175,	41.8626564,	12.5613571
00176,	41.8902789,	12.532671
00177,	41.8883759,	12.5498818
