ZIP Code,	Latitude,	Longitude

10000,	45.8348464,	15.970761
10001,	40.75368539999999,	-73.9991637
10002,	40.7135097,	-73.9859414
10003,	40.7322535,	-73.9874105
10004,	40.7038704,	-74.0138541
10005,	40.6998433,	-74.0072436
10006,	40.709329,	-74.0131196
10007,	40.7136487,	-74.0087126
10008,	40.7097781,	-74.00982710000001
10009,	40.7275043,	-73.9800645
10010,	40.7388319,	-73.98153370000001
10011,	40.7464969,	-74.0094471
10012,	40.7250632,	-73.9976946
10013,	40.7217861,	-74.0094471
10014,	40.7366138,	-74.0094471
10015,	45.4502845,	7.9038647
10016,	40.74727,	-73.9800645
10017,	40.7519846,	-73.9697795
10018,	40.755322,	-73.9932872
10019,	40.7686973,	-73.9918181
10020,	40.7605505,	-73.98226830000002
10021,	40.7700703,	-73.9580246
10022,	40.7593941,	-73.9697795
10023,	40.7769059,	-73.9800645
10024,	40.7859464,	-73.97418739999999
10025,	40.7999209,	-73.96831019999999
10026,	40.8032131,	-73.95258249999999
10027,	40.8138912,	-73.96243270000001
10028,	40.77664120000001,	-73.9521468
10029,	40.79164069999999,	-73.9447994
10030,	40.8173411,	-73.9433299
10031,	40.8270209,	-73.9506774
10032,	40.8409822,	-73.9447994
10033,	40.8557765,	-73.9447994
10034,	40.8721452,	-73.92128579999999
10035,	40.794065,	-73.9271644
10036,	40.7602619,	-73.9932872
10037,	40.8140369,	-73.9374517
10038,	40.7071498,	-74.0021019
10039,	40.8288377,	-73.9374517
10040,	40.8639624,	-73.93304289999999
10041,	40.7035351,	-74.00978099999999
10043,	40.7042986,	-74.0070599
10044,	40.7573053,	-73.9550857
10045,	40.708873,	-74.0093553
10050,	5.4321233,	100.3287399
10055,	40.7589745,	-73.97419099999999
10060,	40.75,	-73.99
10065,	40.7645239,	-73.96243270000001
10069,	40.7750791,	-73.9932872
10073,	45.2256591,	7.594856
10075,	40.7728432,	-73.9558204
10077,	45.2084652,	7.6406373
10078,	45.1437329,	7.623289199999999
10080,	40.7130922,	-74.0156903
10081,	40.71,	-74.00999999999999
10087,	40.75,	-73.99
10088,	45.1937727,	7.788029799999999
10090,	40.71,	-74.00999999999999
10091,	45.0991116,	7.516632899999999
10092,	45.017016,	7.5866647
10093,	45.0897785,	7.5865634
10095,	40.75,	-73.99
10098,	45.0607417,	7.528754299999999
10100,	13.7441095,	100.5099262
10101,	40.7637828,	-73.9859116
10102,	40.7637828,	-73.9859116
10103,	40.7598323,	-73.97633859999999
10104,	40.760105,	-73.9780442
10105,	40.7634529,	-73.9798808
10106,	40.76546159999999,	-73.9809827
10107,	40.7659788,	-73.982452
10108,	40.7545309,	-73.981138
10109,	40.76,	-73.99
10110,	40.75352770000001,	-73.9809365
10111,	40.7591267,	-73.97767689999999
10112,	40.7590788,	-73.9795135
10113,	40.7413663,	-73.9984487
10114,	40.73999999999999,	-74
10115,	40.8108356,	-73.96371839999999
10116,	40.7503406,	-73.99489179999999
10117,	40.7503406,	-73.99489179999999
10118,	40.7484238,	-73.9856319
10119,	40.7502013,	-73.9931036
10120,	40.7499889,	-73.9894307
10121,	40.74928209999999,	-73.9917906
10122,	40.7513534,	-73.99132639999999
10123,	40.75184549999999,	-73.9916344
10124,	40.7545309,	-73.981138
10125,	40.8,	-73.97
10126,	40.76,	-73.97
10127,	45.0214756,	7.660209
10128,	40.7826039,	-73.9506774
10129,	40.7545309,	-73.981138
10130,	40.78,	-73.95
10131,	40.7681987,	-73.9608428
10132,	40.78,	-73.97
10133,	40.7748596,	-73.98073699999999
10134,	45.0406466,	7.6542213
10135,	45.0215567,	7.6240389
10136,	45.0513369,	7.634801599999999
10137,	45.0382378,	7.6201529
10138,	40.75,	-73.99
10139,	45.0708466,	7.6414279
10140,	13.6332855,	100.4958678
10141,	45.0651725,	7.6385118
10143,	45.0818287,	7.652743500000001
10144,	45.08676699999999,	7.666627900000001
10146,	45.08048,	7.6203125
10147,	45.1002423,	7.675841399999999
10148,	45.112337,	7.6707218
10149,	45.0963655,	7.6636292
10150,	40.7582228,	-73.9704871
10151,	40.7631239,	-73.9737712
10152,	40.758778,	-73.9727343
10153,	40.7638697,	-73.9732294
10154,	40.7577789,	-73.9725344
10155,	40.7608571,	-73.9681265
10156,	40.751234,	-73.99524420000002
10157,	40.75,	-73.99
10158,	40.7490007,	-73.9756518
10159,	40.7394463,	-73.9844581
10160,	40.73999999999999,	-73.97999999999999
10161,	40.71,	-74.00999999999999
10162,	40.7694389,	-73.9500145
10163,	40.7531392,	-73.97489569999999
10164,	40.7531392,	-73.97489569999999
10165,	40.7521822,	-73.9787789
10166,	40.7541009,	-73.9763266
10167,	40.75469590000001,	-73.97473839999999
10168,	40.751356,	-73.9773096
10169,	40.7545632,	-73.9759771
10170,	40.7525629,	-73.976024
10171,	40.7565106,	-73.9743893
10172,	40.7555302,	-73.9751038
10173,	40.754139,	-73.9795135
10174,	40.7517367,	-73.9745547
10175,	40.7544003,	-73.9801334
10176,	40.7555263,	-73.9784116
10177,	40.7550496,	-73.9756191
10178,	40.7508375,	-73.9785294
10179,	40.7556001,	-73.97715529999999
10180,	48.3593157,	4.0021425
10185,	40.7545309,	-73.981138
10199,	40.7517769,	-73.9965928
10200,	13.7560243,	100.4986793
10203,	40.71,	-74.00999999999999
10210,	13.9038265,	100.5858786
10211,	40.7299999,	-73.99
10212,	40.71,	-74.00999999999999
10213,	40.72,	-74.00999999999999
10220,	13.9023034,	100.6432195
10230,	13.8289175,	100.6619241
10242,	40.71,	-74.00999999999999
10243,	52.5147455,	13.43856
10244,	54.7125478,	25.3825899
10245,	52.5019332,	13.4554471
10247,	52.5173449,	13.4630849
10249,	40.71,	-74.00999999999999
10250,	13.7179259,	100.6534443
10256,	40.71,	-74.00999999999999
10257,	40.71,	-74.00999999999999
10258,	40.71,	-74.00999999999999
10259,	40.71,	-74.00999999999999
10260,	40.7070054,	-74.0106133
10261,	40.71,	-74.00999999999999
10265,	40.7055648,	-74.008107
10268,	40.7059771,	-74.0087537
10269,	40.71,	-74.00999999999999
10270,	40.7051078,	-74.0056827
10271,	40.7085019,	-74.0110018
10272,	40.7088601,	-74.0024274
10273,	40.71,	-74.00999999999999
10274,	40.70403599999999,	-74.013114
10275,	40.71,	-74.00999999999999
10276,	40.73193149999999,	-73.9902788
10277,	40.71,	-74.00999999999999
10278,	40.7151351,	-74.0039382
10279,	40.7122925,	-74.0079447
10280,	40.7084274,	-74.0173484
10281,	40.71111459999999,	-74.0145738
10282,	40.7167028,	-74.0152027
10285,	40.7136781,	-74.0138618
10286,	40.71,	-74.00999999999999
10290,	13.5300421,	100.5071143
10292,	40.71,	-74.00999999999999
10300,	13.7754325,	100.5127381
10301,	40.6274394,	-74.0946311
10302,	40.6311567,	-74.1386767
10303,	40.6311444,	-74.17390569999999
10304,	40.6047352,	-74.0916944
10305,	40.5944059,	-74.0711359
10306,	40.5729336,	-74.12986839999999
10307,	40.5070853,	-74.2443436
10308,	40.5535039,	-74.1504204
10309,	40.5265593,	-74.22380199999999
10310,	40.6307451,	-74.1181234
10311,	40.6040843,	-74.18237669999999
10312,	40.555548,	-74.1827119
10313,	40.58,	-74.17
10315,	52.5154671,	13.5144706
10317,	52.49854389999999,	13.484745
10318,	52.4810357,	13.5186468
10319,	52.49583209999999,	13.5137055
10320,	13.7843514,	100.5765674
10322,	54.70457279999999,	25.3147774
10330,	13.7401666,	100.5352367
10350,	-6.1928022,	106.8311122
10365,	52.5190891,	13.4949508
10367,	52.52050819999999,	13.4800047
10369,	52.5285173,	13.4667665
104 34,	37.9935529,	23.729951
104 46,	38.0034352,	23.727173
104 47,	37.9858739,	23.7059792
10400,	13.7739818,	100.546488
10405,	52.53419359999999,	13.4230065
10407,	52.5344541,	13.456067
10409,	52.5433958,	13.4413606
10410,	48.2940638,	4.1531739
10411,	59.4482869,	24.7218831
10413,	59.44618079999999,	24.7304242
10414,	59.4440742,	24.7389647
10430,	-6.1929378,	106.8466001
10435,	52.53845190000001,	13.4096184
10437,	52.5455109,	13.4072944
10439,	52.5517268,	13.4123013
10440,	-6.192131799999999,	106.851763
10450,	5.4197312,	100.3170452
